student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,parental_eduacation,grade_category
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0,A,High School,Good
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A,Bachelors,Good
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6,B,Masters,Good
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8,A,Masters,Good
25,Female,4.6,98.3,7.8,None,Yes,Yes,Yes,66.6,97.2,A,none,Good
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,Bachelors,Good
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0,A,Masters,Good
36,Male,6.1,95.7,8.2,None,Yes,Yes,Yes,78.5,92.9,A,none,Good
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,High School,Good
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5,B,High School,Good
48,Male,4.6,79.2,6.6,None,Yes,Yes,Yes,57.9,80.3,B,none,Good
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,Bachelors,Good
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,Bachelors,Good
85,Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3,A,Bachelors,Good
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B,Bachelors,Good
92,Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3,B,High School,Good
97,Female,1.1,100.0,9.2,None,Yes,No,Yes,74.5,87.4,B,none,Good
105,Female,3.5,79.5,6.8,None,Yes,No,Yes,60.9,87.2,B,none,Good
106,Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3,92.5,A,Masters,Good
116,Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6,94.5,A,Masters,Good
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1,B,High School,Good
131,Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0,100.0,A,High School,Good
141,Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9,82.4,B,Masters,Good
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B,Bachelors,Good
