student_id,gender,part_time_job,extracurricular_activities,previous_grade,grade_category
2,Female,Yes,Yes,75.5,Good
3,Male,Yes,No,88.5,Good
13,Male,Yes,Yes,49.0,Good
20,Male,Yes,No,77.0,Good
25,Female,Yes,Yes,66.6,Good
31,Male,Yes,No,66.4,Good
35,Female,Yes,Yes,69.7,Good
36,Male,Yes,Yes,78.5,Good
37,Female,Yes,No,87.7,Good
39,Male,Yes,Yes,72.6,Good
48,Male,Yes,Yes,57.9,Good
56,Female,Yes,Yes,71.2,Good
65,Male,Yes,No,47.9,Good
85,Male,Yes,Yes,79.2,Good
90,Female,Yes,No,67.3,Good
92,Female,Yes,Yes,72.3,Good
97,Female,Yes,No,74.5,Good
105,Female,Yes,No,60.9,Good
106,Female,Yes,Yes,65.3,Good
116,Female,Yes,No,91.6,Good
129,Female,Yes,No,68.7,Good
131,Female,Yes,No,80.0,Good
141,Female,Yes,No,72.9,Good
143,Female,Yes,No,74.4,Good
145,Female,Yes,No,81.2,Good
147,Male,Yes,No,70.4,Good
153,Male,Yes,No,78.6,Good
158,Female,Yes,Yes,58.9,Good
163,Female,Yes,Yes,67.1,Good
188,Male,Yes,Yes,69.0,Good
192,Male,Yes,Yes,83.0,Good
201,Male,Yes,No,90.2,Good
207,Female,Yes,Yes,79.7,Good
209,Female,Yes,Yes,100.0,Good
224,Female,Yes,No,74.4,Good
227,Male,Yes,No,74.2,Good
228,Female,Yes,No,75.9,Good
230,Male,Yes,Yes,71.9,Good
240,Female,Yes,No,62.4,Good
241,Female,Yes,No,69.6,Good
242,Male,Yes,No,70.4,Good
251,Female,Yes,Yes,84.4,Good
252,Male,Yes,No,70.1,Good
255,Male,Yes,Yes,78.2,Good
256,Male,Yes,Yes,64.9,Good
267,Female,Yes,Yes,88.5,Good
278,Female,Yes,No,78.3,Good
285,Female,Yes,Yes,52.9,Good
293,Male,Yes,No,59.6,Good
294,Female,Yes,Yes,76.7,Good
300,Female,Yes,No,64.8,Good
301,Male,Yes,Yes,75.3,Good
305,Female,Yes,No,74.6,Good
307,Female,Yes,Yes,81.1,Good
310,Female,Yes,No,66.9,Good
320,Female,Yes,Yes,58.1,Good
322,Male,Yes,No,60.9,Good
325,Female,Yes,Yes,70.3,Good
333,Female,Yes,Yes,93.2,Good
349,Female,Yes,Yes,66.4,Good
354,Female,Yes,No,67.7,Good
358,Female,Yes,No,91.7,Good
361,Female,Yes,Yes,82.1,Good
362,Male,Yes,No,100.0,Good
