student_id,gender,part_time_job,extracurricular_activities,previous_grade,grade_category
2,Female,Yes,Yes,75.5,Good
13,Male,Yes,Yes,49.0,Good
25,Female,Yes,Yes,66.6,Good
35,Female,Yes,Yes,69.7,Good
36,Male,Yes,Yes,78.5,Good
39,Male,Yes,Yes,72.6,Good
48,Male,Yes,Yes,57.9,Good
56,Female,Yes,Yes,71.2,Good
85,Male,Yes,Yes,79.2,Good
92,Female,Yes,Yes,72.3,Good
106,Female,Yes,Yes,65.3,Good
158,Female,Yes,Yes,58.9,Good
163,Female,Yes,Yes,67.1,Good
188,Male,Yes,Yes,69.0,Good
192,Male,Yes,Yes,83.0,Good
207,Female,Yes,Yes,79.7,Good
209,Female,Yes,Yes,100.0,Good
230,Male,Yes,Yes,71.9,Good
251,Female,Yes,Yes,84.4,Good
255,Male,Yes,Yes,78.2,Good
256,Male,Yes,Yes,64.9,Good
267,Female,Yes,Yes,88.5,Good
285,Female,Yes,Yes,52.9,Good
294,Female,Yes,Yes,76.7,Good
301,Male,Yes,Yes,75.3,Good
307,Female,Yes,Yes,81.1,Good
320,Female,Yes,Yes,58.1,Good
325,Female,Yes,Yes,70.3,Good
333,Female,Yes,Yes,93.2,Good
349,Female,Yes,Yes,66.4,Good
361,Female,Yes,Yes,82.1,Good
415,Male,Yes,Yes,48.5,Good
427,Male,Yes,Yes,71.1,Good
436,Female,Yes,Yes,76.4,Good
437,Female,Yes,Yes,63.1,Good
442,Female,Yes,Yes,69.4,Good
445,Female,Yes,Yes,86.2,Good
448,Female,Yes,Yes,82.0,Good
452,Female,Yes,Yes,85.7,Good
461,Female,Yes,Yes,77.1,Good
463,Female,Yes,Yes,81.4,Good
470,Female,Yes,Yes,74.8,Good
486,Female,Yes,Yes,74.9,Good
494,Female,Yes,Yes,70.4,Good
502,Male,Yes,Yes,63.6,Good
506,Male,Yes,Yes,84.7,Good
510,Female,Yes,Yes,60.6,Good
512,Female,Yes,Yes,65.0,Good
515,Female,Yes,Yes,79.6,Good
520,Female,Yes,Yes,56.2,Good
523,Female,Yes,Yes,82.6,Good
525,Female,Yes,Yes,71.7,Good
527,Male,Yes,Yes,66.8,Good
543,Male,Yes,Yes,53.5,Good
568,Female,Yes,Yes,69.2,Good
582,Male,Yes,Yes,72.0,Good
597,Male,Yes,Yes,70.3,Good
601,Male,Yes,Yes,69.1,Good
615,Female,Yes,Yes,73.7,Good
617,Male,Yes,Yes,77.1,Good
625,Male,Yes,Yes,65.4,Good
633,Male,Yes,Yes,76.6,Good
636,Female,Yes,Yes,68.6,Good
660,Female,Yes,Yes,45.7,Good
664,Female,Yes,Yes,81.9,Good
686,Female,Yes,Yes,76.8,Good
702,Female,Yes,Yes,90.3,Good
718,Female,Yes,Yes,70.2,Good
724,Male,Yes,Yes,81.6,Good
747,Male,Yes,Yes,57.3,Good
752,Male,Yes,Yes,86.4,Good
756,Female,Yes,Yes,57.3,Good
758,Male,Yes,Yes,82.6,Good
772,Male,Yes,Yes,63.8,Good
786,Male,Yes,Yes,88.5,Good
793,Male,Yes,Yes,64.5,Good
794,Female,Yes,Yes,72.9,Good
817,Male,Yes,Yes,60.1,Good
835,Male,Yes,Yes,82.5,Good
836,Female,Yes,Yes,79.2,Good
837,Male,Yes,Yes,90.7,Good
850,Female,Yes,Yes,74.8,Good
872,Female,Yes,Yes,76.9,Good
880,Male,Yes,Yes,84.2,Good
889,Female,Yes,Yes,69.8,Good
891,Male,Yes,Yes,64.9,Good
892,Male,Yes,Yes,69.9,Good
911,Male,Yes,Yes,91.2,Good
916,Female,Yes,Yes,88.0,Good
917,Female,Yes,Yes,79.3,Good
918,Female,Yes,Yes,64.2,Good
923,Male,Yes,Yes,57.2,Good
938,Male,Yes,Yes,65.6,Good
945,Male,Yes,Yes,68.9,Good
953,Male,Yes,Yes,63.3,Good
967,Male,Yes,Yes,63.8,Good
971,Female,Yes,Yes,90.7,Good
