student_id,gender,part_time_job,extracurricular_activities,previous_grade,grade_category
15,Female,Yes,Yes,71.0,Average
18,Female,Yes,Yes,60.2,Average
27,Female,Yes,No,68.7,Average
41,Male,Yes,Yes,68.4,Average
62,Male,Yes,Yes,55.9,Average
69,Female,Yes,No,48.8,Average
79,Male,Yes,Yes,60.6,Average
107,Female,Yes,Yes,74.6,Average
110,Male,Yes,No,69.5,Average
119,Female,Yes,Yes,83.3,Average
123,Female,Yes,No,61.0,Average
152,Male,Yes,Yes,73.2,Average
160,Female,Yes,No,61.7,Average
169,Male,Yes,Yes,56.4,Average
170,Female,Yes,Yes,60.1,Average
182,Male,Yes,No,87.1,Average
213,Male,Yes,Yes,51.2,Average
214,Male,Yes,Yes,52.1,Average
223,Female,Yes,No,66.8,Average
308,Female,Yes,Yes,48.8,Average
317,Male,Yes,Yes,71.1,Average
346,Male,Yes,Yes,59.2,Average
350,Male,Yes,Yes,50.5,Average
355,Female,Yes,Yes,72.2,Average
410,Female,Yes,Yes,54.4,Average
423,Female,Yes,No,52.4,Average
433,Male,Yes,No,76.0,Average
467,Female,Yes,No,79.2,Average
492,Male,Yes,Yes,50.5,Average
508,Male,Yes,Yes,58.8,Average
509,Female,Yes,Yes,42.6,Average
511,Male,Yes,Yes,79.2,Average
516,Male,Yes,No,63.3,Average
522,Male,Yes,Yes,74.8,Average
541,Male,Yes,No,84.5,Average
553,Male,Yes,Yes,60.6,Average
560,Female,Yes,Yes,80.4,Average
564,Male,Yes,No,84.3,Average
569,Male,Yes,No,59.5,Average
577,Male,Yes,Yes,46.8,Average
590,Male,Yes,Yes,78.2,Average
612,Female,Yes,Yes,74.7,Average
613,Female,Yes,Yes,70.4,Average
624,Female,Yes,Yes,77.9,Average
626,Female,Yes,Yes,45.1,Average
634,Male,Yes,No,53.9,Average
640,Female,Yes,No,70.5,Average
646,Male,Yes,Yes,74.3,Average
654,Male,Yes,Yes,58.8,Average
656,Male,Yes,No,78.2,Average
683,Male,Yes,Yes,54.5,Average
691,Female,Yes,Yes,83.3,Average
692,Female,Yes,Yes,42.7,Average
710,Female,Yes,No,58.0,Average
713,Male,Yes,No,59.8,Average
720,Female,Yes,Yes,52.3,Average
735,Female,Yes,No,68.2,Average
760,Male,Yes,Yes,69.8,Average
762,Female,Yes,Yes,62.3,Average
768,Female,Yes,Yes,57.3,Average
814,Female,Yes,No,59.1,Average
828,Female,Yes,Yes,67.2,Average
829,Male,Yes,No,55.7,Average
831,Male,Yes,No,60.9,Average
833,Male,Yes,Yes,82.7,Average
856,Male,Yes,No,73.8,Average
886,Male,Yes,Yes,48.8,Average
887,Male,Yes,No,79.4,Average
890,Male,Yes,Yes,67.0,Average
893,Male,Yes,No,56.4,Average
895,Female,Yes,Yes,48.5,Average
921,Male,Yes,Yes,64.5,Average
929,Female,Yes,No,62.6,Average
933,Male,Yes,Yes,55.8,Average
941,Female,Yes,Yes,81.4,Average
963,Female,Yes,Yes,62.8,Average
972,Male,Yes,Yes,71.5,Average
974,Male,Yes,Yes,71.2,Average
982,Female,Yes,No,98.9,Average
983,Female,Yes,No,72.6,Average
998,Female,Yes,Yes,65.2,Average
