student_id,gender,part_time_job,extracurricular_activities,previous_grade,grade_category
5,Male,Yes,No,61.8,Poor
7,Male,Yes,Yes,58.6,Poor
11,Male,Yes,No,73.4,Poor
46,Female,Yes,No,83.9,Poor
47,Female,Yes,Yes,62.7,Poor
83,Male,Yes,No,55.3,Poor
86,Male,Yes,Yes,70.0,Poor
99,Female,Yes,Yes,62.9,Poor
102,Female,Yes,Yes,75.5,Poor
111,Female,Yes,No,56.8,Poor
128,Male,Yes,No,88.4,Poor
137,Male,Yes,No,55.0,Poor
144,Female,Yes,Yes,71.5,Poor
148,Male,Yes,Yes,59.2,Poor
149,Male,Yes,Yes,62.2,Poor
150,Female,Yes,Yes,63.4,Poor
206,Male,Yes,Yes,76.1,Poor
243,Female,Yes,No,43.4,Poor
258,Female,Yes,Yes,56.4,Poor
273,Female,Yes,Yes,41.8,Poor
280,Female,Yes,Yes,54.3,Poor
283,Female,Yes,Yes,60.0,Poor
286,Male,Yes,No,72.1,Poor
312,Male,Yes,No,63.2,Poor
363,Male,Yes,Yes,55.1,Poor
390,Male,Yes,Yes,69.6,Poor
395,Male,Yes,No,45.6,Poor
421,Female,Yes,Yes,54.0,Poor
450,Female,Yes,No,46.6,Poor
457,Female,Yes,No,53.2,Poor
465,Female,Yes,Yes,62.4,Poor
472,Female,Yes,Yes,48.7,Poor
499,Male,Yes,No,56.1,Poor
519,Female,Yes,Yes,54.7,Poor
521,Female,Yes,No,81.6,Poor
540,Female,Yes,Yes,45.0,Poor
545,Male,Yes,No,78.8,Poor
571,Female,Yes,Yes,67.4,Poor
609,Female,Yes,Yes,63.7,Poor
628,Female,Yes,No,60.7,Poor
662,Male,Yes,Yes,70.4,Poor
670,Male,Yes,No,52.2,Poor
676,Male,Yes,Yes,71.9,Poor
678,Female,Yes,Yes,87.9,Poor
703,Male,Yes,Yes,72.9,Poor
738,Male,Yes,No,70.9,Poor
761,Female,Yes,No,34.5,Poor
792,Female,Yes,No,68.6,Poor
799,Male,Yes,Yes,53.5,Poor
808,Male,Yes,Yes,49.1,Poor
860,Male,Yes,No,80.0,Poor
904,Male,Yes,Yes,58.9,Poor
932,Female,Yes,Yes,69.6,Poor
950,Male,Yes,Yes,65.8,Poor
976,Female,Yes,Yes,43.1,Poor
