student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,student_class
2,Female,6.3,100.0,5.7,High School,Yes,Yes,Yes,75.5,100.0,A,Class 1
3,Male,4.9,85.3,7.9,Bachelors,Yes,No,Yes,88.5,97.3,A,Class 1
13,Male,3.3,97.0,7.0,Masters,Yes,Yes,Yes,49.0,82.6,B,Class 1
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77.0,92.8,A,Class 1
25,Female,4.6,98.3,7.8,,Yes,Yes,Yes,66.6,97.2,A,Class 1
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,Class 1
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0,A,Class 1
36,Male,6.1,95.7,8.2,,Yes,Yes,Yes,78.5,92.9,A,Class 1
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,Class 1
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5,B,Class 1
48,Male,4.6,79.2,6.6,,Yes,Yes,Yes,57.9,80.3,B,Class 1
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,Class 1
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,Class 1
85,Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3,A,Class 1
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B,Class 1
92,Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3,B,Class 1
97,Female,1.1,100.0,9.2,,Yes,No,Yes,74.5,87.4,B,Class 1
105,Female,3.5,79.5,6.8,,Yes,No,Yes,60.9,87.2,B,Class 1
106,Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3,92.5,A,Class 1
116,Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6,94.5,A,Class 1
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1,B,Class 1
131,Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0,100.0,A,Class 1
141,Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9,82.4,B,Class 1
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B,Class 1
145,Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2,86.8,B,Class 1
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82.0,B,Class 1
153,Male,5.0,73.3,5.3,High School,Yes,No,Yes,78.6,84.7,B,Class 1
158,Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9,89.3,B,Class 1
163,Female,4.1,92.7,8.0,Masters,Yes,Yes,Yes,67.1,97.3,A,Class 1
188,Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69.0,83.1,B,Class 1
192,Male,4.7,96.6,8.0,Bachelors,Yes,Yes,Yes,83.0,100.0,A,Class 1
201,Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2,94.6,A,Class 1
207,Female,4.2,89.4,6.7,Bachelors,Yes,Yes,Yes,79.7,100.0,A,Class 1
209,Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100.0,96.1,A,Class 1
224,Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4,89.9,B,Class 1
227,Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2,82.2,B,Class 1
